,Stimmen,Prozent,Name,Partei,Wahlbezirk_Location,Wahlbezirk,Jahr,Stadt
61,476,"50,05 %",Otterbein,CDU,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
62,170,"17,88 %",Hartings,SPD,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
63,113,"11,88 %",Neubauer,GRÜNE,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
64,89,"9,36 %",Löhler,FDP,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
65,30,"3,15 %",Heyer,UWG Kaarst,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
66,26,"2,73 %",Hornby,ZENTRUM,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
67,4,"0,42 %",Rajda,DIE LINKE,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
68,21,"2,21 %",Crefeld,AfD,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
69,22,"2,31 %",Pauen,PIRATEN,GruenstrMaubisstr,GruenstrMaubisstr,2014,Kaarst
70,363,"45,60 %",Schulze Bomke-Vossschulte,CDU,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
71,154,"19,35 %",Reuter,SPD,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
72,109,"13,69 %",Molzberger,GRÜNE,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
73,62,"7,79 %",Dr. Blechschmidt,FDP,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
74,9,"1,13 %",Klukas,UWG Kaarst,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
75,23,"2,89 %",Schmitz,ZENTRUM,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
76,17,"2,14 %",Hoffmann,DIE LINKE,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
77,46,"5,78 %",Robertz,AfD,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
78,13,"1,63 %",Dr. van Lück,PIRATEN,KampstrLange_Hecke,KampstrLange_Hecke,2014,Kaarst
79,404,"43,77 %",Finger,CDU,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
80,196,"21,24 %",Hartings,SPD,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
81,122,"13,22 %",Konzelmann,GRÜNE,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
82,85,"9,21 %",Dr. Maring,FDP,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
83,22,"2,38 %",Drüeke,UWG Kaarst,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
84,42,"4,55 %",Otte,ZENTRUM,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
85,22,"2,38 %",Rosemann,DIE LINKE,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
86,23,"2,49 %",Mischke Ramirez,AfD,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
87,7,"0,76 %",Pauen,PIRATEN,RobKochStrHinterfeld,RobKochStrHinterfeld,2014,Kaarst
88,398,"43,93 %",Thißen,CDU,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
89,189,"20,86 %",Kühl,SPD,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
90,131,"14,46 %",Gaumitz,GRÜNE,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
91,78,"8,61 %",Frisch,FDP,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
92,23,"2,54 %",Dr. Kalthoff,UWG Kaarst,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
93,12,"1,32 %",Eickelmann,ZENTRUM,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
94,26,"2,87 %",Irgat,DIE LINKE,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
95,35,"3,86 %",Dr. Schäfer,AfD,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
96,14,"1,55 %",Brings,PIRATEN,GirmesKreuzStrErftstr,GirmesKreuzStrErftstr,2014,Kaarst
97,358,"39,87 %",Schell,CDU,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
98,156,"17,37 %",Lempke,SPD,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
99,139,"15,48 %",Michael-Fränzel,GRÜNE,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
100,87,"9,69 %",Bandermann,FDP,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
101,44,"4,90 %",Fleck,UWG Kaarst,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
102,33,"3,67 %",Schmitz,ZENTRUM,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
103,23,"2,56 %",Rottinghaus,DIE LINKE,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
104,37,"4,12 %",Thomasen,AfD,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
105,21,"2,34 %",Verges,PIRATEN,BadeniaDanziger_Str,BadeniaDanziger_Str,2014,Kaarst
106,356,"40,09 %",John,CDU,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
107,164,"18,47 %",Rottländer,SPD,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
108,138,"15,54 %",Schröder,GRÜNE,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
109,71,"8,00 %",Wilsch,FDP,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
110,77,"8,67 %",Sampers,UWG Kaarst,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
111,37,"4,17 %",Siegers,ZENTRUM,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
112,13,"1,46 %",Aplak,DIE LINKE,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
113,24,"2,70 %",Niemer,AfD,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
114,8,"0,90 %",Schnell,PIRATEN,SchiefbahnerKleinenbroicher,SchiefbahnerKleinenbroicher,2014,Kaarst
115,436,"43,56 %",Milde,CDU,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
116,126,"12,59 %",Weingran,SPD,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
117,185,"18,48 %",Begerau,GRÜNE,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
118,66,"6,59 %",Witthaut,FDP,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
119,49,"4,90 %",Henschel,UWG Kaarst,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
120,67,"6,69 %",Gockel,ZENTRUM,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
121,15,"1,50 %",Karisik,DIE LINKE,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
122,43,"4,30 %",Crefeld,AfD,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
123,14,"1,40 %",Schmitz,PIRATEN,LinningAlt_Vorst,LinningAlt_Vorst,2014,Kaarst
124,416,"45,41 %",Schwengers,CDU,RottesHeide,RottesHeide,2014,Kaarst
125,146,"15,94 %",Weßendorf,SPD,RottesHeide,RottesHeide,2014,Kaarst
126,114,"12,45 %",Karapetyan,GRÜNE,RottesHeide,RottesHeide,2014,Kaarst
127,75,"8,19 %",Beurskens,FDP,RottesHeide,RottesHeide,2014,Kaarst
128,57,"6,22 %",Rüdiger,UWG Kaarst,RottesHeide,RottesHeide,2014,Kaarst
129,44,"4,80 %",Andree,ZENTRUM,RottesHeide,RottesHeide,2014,Kaarst
130,28,"3,06 %",Kobs,DIE LINKE,RottesHeide,RottesHeide,2014,Kaarst
131,36,"3,93 %",Peter,AfD,RottesHeide,RottesHeide,2014,Kaarst
132,258,"33,33 %",Horn,CDU,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
133,138,"17,83 %",Thiele,SPD,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
134,81,"10,47 %",Hens,GRÜNE,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
135,39,"5,04 %",Kopp,FDP,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
136,57,"7,36 %",Grünkemeier,UWG Kaarst,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
137,151,"19,51 %",Karis,ZENTRUM,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
138,23,"2,97 %",Rosenstock,DIE LINKE,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
139,17,"2,20 %",Schwarz,AfD,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
140,10,"1,29 %",Wehling,PIRATEN,Schwarzer_WegNordkanalallee,Schwarzer_WegNordkanalallee,2014,Kaarst
141,359,"41,45 %",Schöneberg,CDU,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
142,132,"15,24 %",Sieberg-Marchand,SPD,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
143,106,"12,24 %",Sauter,GRÜNE,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
144,35,"4,04 %",Flesch,FDP,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
145,38,"4,39 %",Lorenz,UWG Kaarst,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
146,113,"13,05 %",Rütten,ZENTRUM,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
147,28,"3,23 %",Kock-Rottinghaus,DIE LINKE,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
148,38,"4,39 %",Dr. von Watzdorf,AfD,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
149,17,"1,96 %",Wetzler,PIRATEN,BruchwegPlatanenstr,BruchwegPlatanenstr,2014,Kaarst
150,451,"42,31 %",Schröder,CDU,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
151,155,"14,54 %",Dr. Holtmeier,SPD,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
152,151,"14,17 %",van Megen,GRÜNE,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
153,92,"8,63 %",Kopp,FDP,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
154,63,"5,91 %",Pollmann,UWG Kaarst,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
155,104,"9,76 %",Statz-Matern,ZENTRUM,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
156,23,"2,16 %",Kock,DIE LINKE,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
157,19,"1,78 %",Straus,AfD,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
158,8,"0,75 %",Brandhorst,PIRATEN,HasselstrKoenigstr,HasselstrKoenigstr,2014,Kaarst
159,457,"45,52 %",Haupt,CDU,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
160,108,"10,76 %",Beyer,SPD,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
161,196,"19,52 %",Hannen,GRÜNE,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
162,78,"7,77 %",Pruss,FDP,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
163,54,"5,38 %",Gehrmann,UWG Kaarst,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
164,68,"6,77 %",Becker,ZENTRUM,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
165,17,"1,69 %",Hoffmann,DIE LINKE,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
166,26,"2,59 %",Gonzalez Zumbülte,AfD,DrieschHubertusstr,DrieschHubertusstr,2014,Kaarst
167,294,"34,11 %",Fischer,CDU,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
168,116,"13,46 %",Beyer,SPD,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
169,146,"16,94 %",Neubauer,GRÜNE,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
170,121,"14,04 %",Baum,FDP,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
171,85,"9,86 %",Weyers,UWG Kaarst,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
172,71,"8,24 %",Bürvenich,ZENTRUM,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
173,20,"2,32 %",Rosenstock,DIE LINKE,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
174,9,"1,04 %",Ondra,PIRATEN,VomSteinStrRoemerstr,VomSteinStrRoemerstr,2014,Kaarst
175,406,"44,37 %",Schubert,CDU,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
176,141,"15,41 %",Trieschmann,SPD,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
177,135,"14,75 %",Köbis,GRÜNE,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
178,85,"9,29 %",Werle,FDP,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
179,63,"6,89 %",Funk,UWG Kaarst,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
180,44,"4,81 %",Schröter,ZENTRUM,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
181,33,"3,61 %",Rosemann,DIE LINKE,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
182,8,"0,87 %",Holloway,PIRATEN,BirkhofstrLichtenvoorder_Str,BirkhofstrLichtenvoorder_Str,2014,Kaarst
183,448,"45,03 %",Christoph,CDU,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
184,141,"14,17 %",Imiela,SPD,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
185,140,"14,07 %",Sommer,GRÜNE,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
186,105,"10,55 %",Dorfer,FDP,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
187,92,"9,25 %",Drüeke,UWG Kaarst,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
188,41,"4,12 %",Küster,ZENTRUM,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
189,18,"1,81 %",Ergün,DIE LINKE,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
190,10,"1,01 %",Albrecht,PIRATEN,JvanWerthStrGlehner_Str,JvanWerthStrGlehner_Str,2014,Kaarst
191,2442,"29,40 %",Walter,SPD,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
192,1.62,"19,50 %",Melemez,CDU,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
193,2142,"25,79 %",Schäfer,GRÜNE,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
194,451,"5,43 %",Ruffen,FDP,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
195,117,"1,41 %",Strauff,PRO KÖLN,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
196,779,"9,38 %",Müller,DIE LINKE,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
197,87,"1,05 %",Hoffmann,FWK,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
198,258,"3,11 %",Windhoff,DEINE FREUNDE,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
199,216,"2,60 %",Göckel,PIRATEN,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
200,195,"2,35 %",Freyling,AfD,1_AltstadtSued_I,1_AltstadtSued_I,2014,Köln
201,2872,"25,61 %",Blümcke,SPD,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
202,1922,"17,14 %",Leitner,CDU,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
203,3653,"32,58 %",Heuser,GRÜNE,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
204,556,"4,96 %",Tillessen,FDP,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
205,87,"0,78 %",Scherfling,PRO KÖLN,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
206,1105,"9,85 %",Scheffer,DIE LINKE,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
207,83,"0,74 %",Rainer,FWK,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
208,495,"4,41 %",Dr. Kuch,DEINE FREUNDE,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
209,236,"2,10 %",Misgeld,PIRATEN,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
210,205,"1,83 %",Haug,AfD,2_NeustadtSued_I,2_NeustadtSued_I,2014,Köln
211,2.28,"23,45 %",Malavasi,SPD,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
212,1964,"20,20 %",Gordes,CDU,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
213,2956,"30,40 %",Wolter,GRÜNE,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
214,553,"5,69 %",Breite,FDP,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
215,106,"1,09 %",Maul,PRO KÖLN,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
216,856,"8,80 %",Alflen,DIE LINKE,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
217,104,"1,07 %",Hagenbruch,FWK,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
218,373,"3,84 %",Kasnitz,DEINE FREUNDE,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
219,313,"3,22 %",Coeln,PIRATEN,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
220,219,"2,25 %",Schulze,AfD,3_AltstadtSued_II_NeustadtSued_II,3_AltstadtSued_II_NeustadtSued_II,2014,Köln
221,2492,"23,51 %",Volland-Dörmann,SPD,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
222,2771,"26,14 %",Michel,CDU,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
223,2599,"24,52 %",Thelen,GRÜNE,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
224,754,"7,11 %",Deutsch,FDP,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
225,126,"1,19 %",Grosch,PRO KÖLN,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
226,718,"6,77 %",Löwisch,DIE LINKE,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
227,128,"1,21 %",Dr. Peters,FWK,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
228,372,"3,51 %",Schmidt,DEINE FREUNDE,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
229,65,"0,61 %",Abels,Einzelbewerber,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
230,109,"1,03 %",Kader,Die PARTEI,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
231,221,"2,08 %",Kurandt,PIRATEN,4_AltstadtNord_I_Neustadt_Nord_I,4_AltstadtNord_I_Neustadt_Nord_I,2014,Köln
